Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.273,0,100,0,163.8,0,-9.22396,-0.03345,0.041314,-0.852925,-0.640842,0.162519,-9.71752
0.276,0,100,0,165.6,0,-9.71752,0.0386827,-0.00361869,-0.905721,0.143524,0.191907,-10.6128
0.279,0,100,0,167.4,0,-10.6128,-0.0540221,0.0251822,-0.506787,-0.234371,-0.0534642,-10.9222
0.282,0,100,0,169.2,0,-10.9222,0.0403483,-0.0645186,-0.394108,0.30127,0.0778505,-11.8081
0.285,0,100,0,171,0,-11.8081,-0.0208121,0.0181249,-0.0312888,-0.0337145,-0.109458,-12.682
0.288,0,100,0,172.8,0,-12.682,0.0406867,0.000620257,-0.917225,0.307706,-0.321088,-10.8377
0.291,0,100,0,174.6,0,-10.8377,-0.0884944,0.0653318,0.43004,-0.175965,0.209161,-12.678
0.294,0,100,0,176.4,0,-12.678,-0.077759,0.0830725,1.95386,-0.229676,0.168883,-13.4703
0.297,0,100,0,178.2,0,-13.4703,-0.0525406,0.0081892,1.54284,-0.463166,0.241826,-14.3791
0.3,0,100,0,180,0,-14.3791,-0.0755712,0.0799302,-12.8336,-0.0708803,0.246769,-5.38394
0.303,0,100,0,181.8,0,-5.38394,-0.000982195,0.0788472,0.683335,0.000478815,0.358024,-10.7282
0.306,0,100,0,183.6,0,-10.7282,-0.0664509,0.138238,2.66836,-0.060226,-0.0878821,-11.8052
0.309,0,100,0,185.4,0,-11.8052,-0.0516333,-0.157127,2.14893,0.0345508,-0.484981,-11.8471
0.312,0,100,0,187.2,0,-11.8471,0.0834859,-0.00211476,2.36238,-0.111775,0.0150766,-11.6109
0.315,0,100,0,189,0,-11.6109,0.0193535,0.0203163,1.97294,-0.128899,0.128432,-10.686
0.318,0,100,0,190.8,0,-10.686,-0.0101338,-0.0174872,1.68918,-0.186321,0.044956,-10.0149
0.321,0,100,0,192.6,0,-10.0149,-0.0458509,0.106941,1.6432,-0.224996,0.340735,-10.2617
0.324,0,100,0,194.4,0,-10.2617,-0.00187249,0.00348373,1.80592,-0.234381,0.0667084,-9.63875
0.327,0,100,0,196.2,0,-9.63875,-0.0135604,0.0546136,1.70085,-0.249945,0.245021,-10.1441
0.33,0,100,0,198,0,-10.1441,-0.0934917,-0.014633,1.48622,-0.519091,-0.240367,-9.43136
0.333,0,100,0,199.8,0,-9.43136,-0.0332934,-0.0396521,1.19299,-0.217999,0.0857933,-9.16328
0.336,0,100,0,201.6,0,-9.16328,0.000895932,0.0338324,0.949651,-0.128129,0.368678,-9.6721
0.339,0,100,0,203.4,0,-9.6721,0.0346171,-0.0673338,0.945252,-0.0830586,-0.141497,-10.2357
0.342,0,100,0,205.2,0,-10.2357,-0.0256135,-0.0680096,0.723043,-0.549675,-0.352589,-10.7948
0.345,0,100,0,207,0,-10.7948,0.0345994,-0.0245596,0.124681,-0.359672,-0.111454,-10.8516
