Time_s,HydraulicForceZ_dyne,Fz_uN
1.0800,1.77906,17.7906
1.0830,1.49556,14.9556
1.0860,1.25782,12.5782
1.0890,1.35531,13.5531
1.0920,0.967629,9.67629
1.0950,0.547385,5.47385
1.0980,0.78015,7.8015
1.1010,1.12196,11.2196
1.1040,1.79986,17.9986
1.1070,2.16104,21.6104
1.1100,2.37096,23.7096
1.1130,2.4466,24.466
1.1160,3.18169,31.8169
1.1190,4.34942,43.4942
1.1220,3.2339,32.339
1.1250,-8.1613,-81.613
1.1280,1.99855,19.9855
1.1310,3.53439,35.3439
1.1340,3.11868,31.1868
1.1370,3.42909,34.2909
1.1400,2.58801,25.8801
1.1430,2.27641,22.7641
1.1460,2.06652,20.6652
1.1490,2.04663,20.4663
1.1520,2.06101,20.6101
1.1550,2.0402,20.402
1.1580,1.4152,14.152
1.1610,1.3807,13.807
1.1640,1.20111,12.0111
1.1670,0.761086,7.61086
1.1700,0.626933,6.26933
1.1730,0.832188,8.32188
1.1760,0.957215,9.57215
1.1790,1.80099,18.0099
1.1820,2.14546,21.4546
1.1850,2.44728,24.4728
1.1880,2.43865,24.3865
1.1910,3.12731,31.2731
1.1940,4.37455,43.7455
1.1970,3.26363,32.6363
1.2000,-8.22666,-82.2666
