Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
146,49,0.147,0.0650086,0.0693971,-0.822282,-0.0736991,0,0,0,0
147,49,0.147,0.0649523,0.0689573,-0.816785,-0.0773212,0,0,0,0
148,50,0.15,0.0609637,0.0671869,-0.407614,-0.0814296,0,0,0,0
149,50,0.15,0.060933,0.0669849,-0.399482,-0.0827307,0,0,0,0
150,50,0.15,0.0609205,0.0668495,-0.396311,-0.0828408,0,0,0,0
151,51,0.153,0.0604449,0.0665022,-0.393487,-0.0895434,0,0,0,0
152,51,0.153,0.0603395,0.0664189,-0.403359,-0.0954438,0,0,0,0
153,51,0.153,0.0602482,0.0663848,-0.411053,-0.100231,0,0,0,0
154,52,0.156,0.0612088,0.0674017,-0.394836,-0.0816341,0,0,0,0
155,52,0.156,0.0614834,0.0675219,-0.405419,-0.0760657,0,0,0,0
156,52,0.156,0.0616345,0.0675877,-0.414185,-0.0758604,0,0,0,0
157,53,0.159,0.0618037,0.0682407,-0.406833,-0.0663882,0,0,0,0
158,53,0.159,0.0622373,0.0681382,-0.420345,-0.0653481,0,0,0,0
159,53,0.159,0.0625451,0.0680694,-0.431384,-0.0674529,0,0,0,0
160,54,0.162,0.0605731,0.0697379,-0.43175,-0.0605155,0,0,0,0
161,54,0.162,0.060634,0.0693918,-0.446324,-0.0608281,0,0,0,0
162,54,0.162,0.0607095,0.0691071,-0.457926,-0.063792,0,0,0,0
163,55,0.165,0.0620145,0.0708789,-0.459994,-0.0595302,0,0,0,0
164,55,0.165,0.0625107,0.071041,-0.474071,-0.0611797,0,0,0,0
165,55,0.165,0.062852,0.0711206,-0.485357,-0.0649454,0,0,0,0
166,56,0.168,0.0629886,0.0701496,-0.492427,-0.0553094,0,0,0,0
167,56,0.168,0.0630367,0.0701901,-0.508188,-0.0549268,0,0,0,0
168,56,0.168,0.0630932,0.0701894,-0.520424,-0.0581181,0,0,0,0
