Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.309,0,100,0,185.4,0,-31.8848,0.139488,0.0599992,2.81228,0.599494,1.44809,-30.8773
0.312,0,100,0,187.2,0,-30.8773,0.0522225,-0.149768,1.68188,0.937311,0.0678975,-29.9114
0.315,0,100,0,189,0,-29.9114,-0.0239614,-0.104293,1.3251,-0.378113,0.0484195,-31.441
0.318,0,100,0,190.8,0,-31.441,0.0329368,-0.080897,1.17058,0.58783,-0.204009,-31.6893
0.321,0,100,0,192.6,0,-31.6893,-0.136921,-0.238977,1.36149,0.978756,-1.00169,-34.085
0.324,0,100,0,194.4,0,-34.085,0.255014,0.020803,2.59819,0.446887,-0.154852,-36.9329
0.327,0,100,0,196.2,0,-36.9329,0.0715363,0.0493422,2.36437,-0.48663,0.613389,-38.4126
0.33,0,100,0,198,0,-38.4126,0.254261,0.0646008,1.82902,0.0780436,1.66553,-39.9197
0.333,0,100,0,199.8,0,-39.9197,0.189902,-0.00340614,3.19319,0.163648,0.847709,-40.5665
0.336,0,100,0,201.6,0,-40.5665,-0.00628415,-0.0989458,3.21651,0.40283,0.222292,-41.2585
0.339,0,100,0,203.4,0,-41.2585,0.0458655,0.113255,3.43261,1.11118,2.28315,-48.8307
0.342,0,100,0,205.2,0,-48.8307,0.169427,-0.118294,2.19232,3.03769,-0.184846,-36.1218
0.345,0,100,0,207,0,-36.1218,-0.0471249,-0.224066,2.2229,0.549816,-0.86168,-37.209
0.348,0,100,0,208.8,0,-37.209,-0.00926862,0.0644489,3.84723,-0.358349,0.49179,-34.7983
0.351,0,100,0,210.6,0,-34.7983,0.136038,-0.0901094,3.8718,0.06882,-0.881217,-34.7708
0.354,0,100,0,212.4,0,-34.7708,0.0749948,0.0553604,2.52487,0.256566,2.85088,-32.3888
0.357,0,100,0,214.2,0,-32.3888,-0.0607133,-0.0867759,2.67163,0.981237,-0.692283,-34.5028
0.36,0,100,0,216,0,-34.5028,0.000918386,0.101751,2.32749,-1.31263,-0.652758,-36.0627
0.363,0,100,0,217.8,0,-36.0627,-0.0349009,-0.190424,1.24024,0.75196,-0.745575,-37.5559
0.366,0,100,0,219.6,0,-37.5559,0.0315969,-0.0635245,1.79033,-0.228572,-0.104404,-36.7448
0.369,0,100,0,221.4,0,-36.7448,-0.154481,-0.0560416,4.01829,-0.241532,-0.294689,-41.6422
0.372,0,100,0,223.2,0,-41.6422,0.0617226,0.193694,2.04213,-0.6613,0.889486,-40.8097
0.375,0,100,0,225,0,-40.8097,0.0608672,0.091725,2.99256,-0.0977764,1.07102,-45.9036
0.378,0,100,0,226.8,0,-45.9036,-0.121447,0.0155736,4.52575,-1.29999,0.710613,-44.6185
0.381,0,100,0,228.6,0,-44.6185,-0.114274,0.18884,3.74966,-0.331405,1.64681,-51.7103
0.384,0,100,0,230.4,0,-51.7103,0.0645296,0.249788,1.15189,0.695578,4.50996,-37.6087
0.387,0,100,0,232.2,0,-37.6087,-0.05994,-0.028466,1.38345,0.541402,-0.547082,-36.369
0.39,0,100,0,234,0,-36.369,0.189092,0.239419,4.42163,-0.374661,1.48208,-38.4355
0.393,0,100,0,235.8,0,-38.4355,0.004841,-0.0567293,3.17205,0.831106,-0.302601,-33.5403
0.396,0,100,0,237.6,0,-33.5403,-0.010631,0.0352123,3.01676,-0.696164,0.856061,-33.9176
0.399,0,100,0,239.4,0,-33.9176,0.00137446,0.10114,2.69952,-0.295442,0.99397,-35.2271
0.402,0,100,0,241.2,0,-35.2271,-0.0298488,-0.115597,2.57982,-0.795491,-0.704008,-36.801
0.405,0,100,0,243,0,-36.801,-0.0802913,0.183121,1.9104,-1.35674,0.234162,-37.017
0.408,0,100,0,244.8,0,-37.017,0.0466508,-0.121636,1.94582,0.246327,1.4965,-38.8051
0.411,0,100,0,246.6,0,-38.8051,0.0387497,0.160311,3.6599,0.13672,0.753191,-42.6326
0.414,0,100,0,248.4,0,-42.6326,0.0160641,0.346926,3.01872,-1.85132,1.05754,-46.8956
0.417,0,100,0,250.2,0,-46.8956,-0.120496,0.0847061,3.12693,-2.3609,0.603345,-46.6952
0.42,0,100,0,252,0,-46.6952,-0.128507,0.0381266,5.28903,-1.1918,0.580612,-47.6883
0.423,0,100,0,253.8,0,-47.6883,0.0239607,0.193898,2.97203,-0.658103,1.66623,-49.3913
0.426,0,100,0,255.6,0,-49.3913,-0.148549,0.0868729,5.1555,-0.830142,0.85057,-49.3268
0.429,0,100,0,257.4,0,-49.3268,0.165044,-0.0113475,10.8766,2.00181,0.0456607,-57.8487
0.432,0,100,0,259.2,0,-57.8487,-0.0606244,-0.117971,3.77139,-0.182387,-0.757099,-40.4658
0.435,0,100,0,261,0,-40.4658,0.177557,-0.218224,3.1948,0.896409,0.506824,-33.8658
0.438,0,100,0,262.8,0,-33.8658,0.184354,-0.118838,2.21202,0.503239,0.681972,-32.3045
0.441,0,100,0,264.6,0,-32.3045,0.0136664,-0.208974,2.41729,0.735191,-0.015083,-33.5179
0.444,0,100,0,266.4,0,-33.5179,0.0943865,0.0180372,1.43206,-0.548513,0.823028,-35.9368
0.447,0,100,0,268.2,0,-35.9368,-0.037486,-0.0610566,0.965534,0.504512,0.354813,-35.3658
0.45,0,100,0,270,0,-35.3658,-0.0106933,0.079759,1.61225,-0.367193,0.671894,-38.7698
0.453,0,100,0,271.8,0,-38.7698,0.00974284,0.229691,2.66421,-0.251732,0.376573,-41.434
0.456,0,100,0,273.6,0,-41.434,0.165998,0.106416,2.29882,-0.316003,0.257671,-44.6274
0.459,0,100,0,275.4,0,-44.6274,0.0459782,0.199716,1.97302,-1.11427,0.645526,-46.2397
0.462,0,100,0,277.2,0,-46.2397,0.0279016,0.221668,4.35424,-1.46458,1.44908,-47.7297
0.465,0,100,0,279,0,-47.7297,-0.149241,0.248426,3.72213,-1.83074,1.78173,-47.7513
0.468,0,100,0,280.8,0,-47.7513,-0.0433216,0.200225,4.80521,0.289826,1.88028,-54.2394
0.471,0,100,0,282.6,0,-54.2394,0.155039,0.0152176,14.5837,-0.314119,-0.390244,-66.5466
0.474,0,100,0,284.4,0,-66.5466,-0.0583931,0.0206066,2.34378,-0.282624,0.127034,-37.9329
0.477,0,100,0,286.2,0,-37.9329,-0.0536552,0.0297281,3.96351,-0.533981,-1.21473,-36.9183
0.48,0,100,0,288,0,-36.9183,0.098932,-0.0777263,2.69197,1.59878,0.182796,-34.6595
0.483,0,100,0,289.8,0,-34.6595,0.0955725,0.166323,2.4568,-1.43137,1.96389,-33.6146
0.486,0,100,0,291.6,0,-33.6146,-0.205746,0.100952,1.92678,-1.97528,-0.292849,-35.288
0.489,0,100,0,293.4,0,-35.288,0.12808,0.109432,1.5968,-0.327846,0.650569,-35.973
0.492,0,100,0,295.2,0,-35.973,-0.120967,-0.182504,0.628196,0.515238,0.0770849,-38.3354
0.495,0,100,0,297,0,-38.3354,-0.0342145,-0.146849,2.21175,0.495287,-1.83695,-41.5866
0.498,0,100,0,298.8,0,-41.5866,-0.113035,-0.0109346,2.84222,-1.17047,-1.68629,-44.5332
0.501,0,100,0,300.6,0,-44.5332,0.149496,0.155344,2.26581,-0.749178,0.9181,-46.1364
0.504,0,100,0,302.4,0,-46.1364,0.0260632,-0.107903,2.97458,0.0323211,-0.735684,-45.987
0.507,0,100,0,304.2,0,-45.987,-0.0271848,0.136409,4.3011,-0.220638,0.683425,-47.5692
0.51,0,100,0,306,0,-47.5692,-0.229734,0.131799,3.57801,-0.544878,0.703929,-50.6519
0.513,0,100,0,307.8,0,-50.6519,0.109554,-0.00120611,0.818712,0.636874,1.44497,-39.2559
0.516,0,100,0,309.6,0,-39.2559,-0.111762,-0.00222813,3.16323,-0.541772,-0.861601,-41.7441
0.519,0,100,0,311.4,0,-41.7441,0.120903,0.0225899,4.46761,-0.587991,0.313278,-40.1089
0.522,0,100,0,313.2,0,-40.1089,0.0608949,-0.151738,4.51443,1.46189,-1.3918,-39.8431
0.525,0,100,0,315,0,-39.8431,0.0629567,-0.134183,2.50011,-0.474799,0.93311,-35.9493
0.528,0,100,0,316.8,0,-35.9493,0.027219,-0.291599,4.14172,-0.640887,-0.777837,-38.4452
