Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
120,40,0.12,0.0333818,0.148421,-2.78311,0.00784779,0,0,0,0
121,41,0.123,0.0308101,0.14357,-2.77085,0.00972463,0,0,0,0
122,41,0.123,0.0289842,0.140334,-2.76037,0.0118027,0,0,0,0
123,41,0.123,0.027498,0.13777,-2.7526,0.0132049,0,0,0,0
124,42,0.126,0.0214726,0.132557,-2.74026,0.0171437,0,0,0,0
125,42,0.126,0.0188142,0.128825,-2.73001,0.0199015,0,0,0,0
126,42,0.126,0.0168007,0.125917,-2.72236,0.0216259,0,0,0,0
127,43,0.129,0.0193716,0.128634,-2.7117,0.0218548,0,0,0,0
128,43,0.129,0.0193273,0.129059,-2.70232,0.0225717,0,0,0,0
129,43,0.129,0.0191872,0.129109,-2.69529,0.0232872,0,0,0,0
130,44,0.132,0.0164139,0.12947,-2.68218,0.027216,0,0,0,0
131,44,0.132,0.0142141,0.130174,-2.67148,0.0297527,0,0,0,0
132,44,0.132,0.0125277,0.130469,-2.66362,0.0312514,0,0,0,0
133,45,0.135,0.0155022,0.132404,-2.65191,0.0320567,0,0,0,0
134,45,0.135,0.0168793,0.132385,-2.64227,0.0328638,0,0,0,0
135,45,0.135,0.0177965,0.132136,-2.63514,0.0335532,0,0,0,0
136,46,0.138,0.0176239,0.131033,-2.62486,0.0341341,0,0,0,0
137,46,0.138,0.0172052,0.131304,-2.61598,0.0350169,0,0,0,0
138,46,0.138,0.0168646,0.131354,-2.60942,0.0356217,0,0,0,0
139,47,0.141,0.0111178,0.130753,-2.60296,0.0397184,0,0,0,0
140,47,0.141,0.00755744,0.129344,-2.59668,0.0422348,0,0,0,0
141,47,0.141,0.00493066,0.128157,-2.59187,0.043531,0,0,0,0
142,48,0.144,0.00337587,0.122764,-2.58314,0.0442113,0,0,0,0
143,48,0.144,0.00179874,0.118768,-2.57522,0.0448643,0,0,0,0
144,48,0.144,0.000601544,0.115816,-2.56939,0.0453224,0,0,0,0
145,49,0.147,-0.00345658,0.114719,-2.56175,0.0496953,0,0,0,0
146,49,0.147,-0.00606452,0.114177,-2.55491,0.0536228,0,0,0,0
147,49,0.147,-0.0078984,0.113695,-2.54977,0.0556601,0,0,0,0
148,50,0.15,-0.00894064,0.113629,-2.54434,0.0500885,0,0,0,0
149,50,0.15,-0.0103771,0.113558,-2.53859,0.0471025,0,0,0,0
150,50,0.15,-0.0114537,0.113377,-2.53424,0.0455881,0,0,0,0
151,51,0.153,-0.00815147,0.112572,-2.53036,0.0531613,0,0,0,0
152,51,0.153,-0.00601178,0.112221,-2.52518,0.057792,0,0,0,0
153,51,0.153,-0.00446831,0.11194,-2.52121,0.0601161,0,0,0,0
154,52,0.156,-0.00534304,0.10819,-2.5194,0.0570669,0,0,0,0
155,52,0.156,-0.00508964,0.106202,-2.51585,0.0562438,0,0,0,0
156,52,0.156,-0.00485298,0.104746,-2.51301,0.0557154,0,0,0,0
157,53,0.159,0.00080848,0.103245,-2.51212,0.0564437,0,0,0,0
158,53,0.159,0.00347759,0.102832,-2.50797,0.0569292,0,0,0,0
159,53,0.159,0.00545773,0.102521,-2.50465,0.0570515,0,0,0,0
160,54,0.162,0.0061285,0.100359,-2.50382,0.0636403,0,0,0,0
161,54,0.162,0.00706088,0.0996927,-2.50005,0.0673463,0,0,0,0
162,54,0.162,0.00788498,0.0992565,-2.49699,0.06894,0,0,0,0
163,55,0.165,-0.00263089,0.0875148,-2.49747,0.0747951,0,0,0,0
164,55,0.165,-0.00703186,0.0819892,-2.49254,0.0782848,0,0,0,0
165,55,0.165,-0.0101244,0.0778829,-2.48839,0.0797379,0,0,0,0
166,56,0.168,-0.0158815,0.0754513,-2.4879,0.0747503,0,0,0,0
167,56,0.168,-0.019231,0.0735417,-2.48334,0.072059,0,0,0,0
168,56,0.168,-0.0215592,0.0719872,-2.47894,0.0696771,0,0,0,0
169,57,0.171,-0.0232058,0.0664315,-2.47895,0.075446,0,0,0,0
170,57,0.171,-0.0247777,0.0647265,-2.47448,0.0794147,0,0,0,0
171,57,0.171,-0.0259103,0.0634488,-2.4702,0.0809128,0,0,0,0
172,58,0.174,-0.0262117,0.0640032,-2.47248,0.0844869,0,0,0,0
173,58,0.174,-0.0269829,0.0638997,-2.47001,0.0867269,0,0,0,0
174,58,0.174,-0.0275586,0.064017,-2.46707,0.0873081,0,0,0,0
175,59,0.177,-0.0259398,0.0627352,-2.46418,0.0880468,0,0,0,0
176,59,0.177,-0.026045,0.061357,-2.45887,0.0883119,0,0,0,0
177,59,0.177,-0.0260241,0.0605026,-2.45359,0.0877766,0,0,0,0
178,60,0.18,-0.0245183,0.0506014,-2.4469,0.0856507,0,0,0,0
179,60,0.18,-0.0243887,0.0457783,-2.44125,0.0840008,0,0,0,0
180,60,0.18,-0.024303,0.0423386,-2.43508,0.0823646,0,0,0,0
181,61,0.183,-0.0229442,0.0445448,-2.4142,0.0873339,0,0,0,0
182,61,0.183,-0.0216397,0.0417755,-2.40361,0.0889528,0,0,0,0
183,61,0.183,-0.020596,0.0398775,-2.39332,0.088696,0,0,0,0
184,62,0.186,-0.0264452,0.0216079,-2.35338,0.0906019,0,0,0,0
185,62,0.186,-0.0281783,0.0174304,-2.33571,0.0897273,0,0,0,0
